index_date,crude_steel_(thousand_ton)
2000-01-01,2155.44689306534
2000-02-01,2256.89563857574
2000-03-01,2267.68254496484
2000-04-01,2327.50640416368
2000-05-01,2391.70981379933
2000-06-01,2364.12918332868
2000-07-01,2322.55467771245
2000-08-01,2376.94407547215
2000-09-01,2371.75235315761
2000-10-01,2335.25057860069
2000-11-01,2325.69441853794
2000-12-01,2346.31033575013
2001-01-01,2365.35369291944
2001-02-01,2346.36447018919
2001-03-01,2397.46150382473
2001-04-01,2436.08298905047
2001-05-01,2232.57861165655
2001-06-01,1838.61782557341
2001-07-01,1908.67817192577
2001-08-01,2123.93000408748
2001-09-01,2291.07458431875
2001-10-01,2223.56282451027
2001-11-01,2236.57091047732
2001-12-01,2311.22092054137
2002-01-01,2355.02178827428
2002-02-01,2378.81347162237
2002-03-01,2341.64846510033
2002-04-01,2325.63792380218
2002-05-01,2407.80298478292
2002-06-01,2487.03981293423
2002-07-01,2505.20444841295
2002-08-01,2501.63298587975
2002-09-01,2570.78489425408
2002-10-01,2594.29962021876
2002-11-01,2582.5214046767
2002-12-01,2538.3324886172
2003-01-01,2512.50534501143
2003-02-01,2495.1423043672
2003-03-01,2591.13914839945
2003-04-01,2621.81190149415
2003-05-01,2641.16737292794
2003-06-01,2664.06262376864
2003-07-01,2664.99261545221
2003-08-01,2677.40858347085
2003-09-01,2578.96241729601
2003-10-01,2458.69375106418
2003-11-01,2588.76294300176
2003-12-01,2613.81515411589
2004-01-01,2653.94903074096
2004-02-01,2743.79483004485
2004-03-01,2708.26360267523
2004-04-01,2752.9638691099
2004-05-01,2717.28157008888
2004-06-01,2833.70278847659
2004-07-01,2788.52940274067
2004-08-01,2783.36273566058
2004-09-01,2778.42535814124
2004-10-01,2654.43545114428
2004-11-01,2747.45709870561
2004-12-01,2751.61653566432
2005-01-01,2570.85899155431
2005-02-01,2791.47920683606
2005-03-01,2743.68598804638
2005-04-01,2835.79029837839
2005-05-01,2718.56990429319
2005-06-01,2580.8985626024
2005-07-01,2423.89708326747
2005-08-01,1836.54455309194
2005-09-01,2549.92499934372
2005-10-01,2625.8470427701
2005-11-01,2626.04536439485
2005-12-01,2626.32597355256
2006-01-01,2566.18737351965
2006-02-01,2358.01931288767
2006-03-01,2467.33874464584
2006-04-01,2482.28816889919
2006-05-01,2470.46663857
2006-06-01,2471.1035352861
2006-07-01,2649.4168325068
2006-08-01,2673.38715990909
2006-09-01,2704.59156682525
2006-10-01,2731.0300302854
2006-11-01,2698.76306588107
2006-12-01,2631.12325090279
2007-01-01,2697.40337805339
2007-02-01,2379.84793239796
2007-03-01,2774.65842062175
2007-04-01,2769.19698656764
2007-05-01,2877.1701900922
2007-06-01,2806.72760115875
2007-07-01,2788.31697556163
2007-08-01,2788.41807892877
2007-09-01,2806.25373307337
2007-10-01,2829.29386786442
2007-11-01,2884.87874229464
2007-12-01,3028.35486259679
2008-01-01,2977.54731277145
2008-02-01,2971.72555417182
2008-03-01,2935.61957464904
2008-04-01,2948.83253440111
2008-05-01,2940.80355532879
2008-06-01,2987.34002660329
2008-07-01,3111.88097219006
2008-08-01,2984.52607858562
2008-09-01,2955.30287421708
2008-10-01,2816.18908461956
2008-11-01,2366.093802253
2008-12-01,1701.49829681409
2009-01-01,1636.88622941276
2009-02-01,1910.05625867066
2009-03-01,1682.47663387553
2009-04-01,1756.59486245357
2009-05-01,1697.76862450524
2009-06-01,1977.4361759008
2009-07-01,2397.71421749138
2009-08-01,2521.69834376347
2009-09-01,2678.86759465443
2009-10-01,2701.69351895731
2009-11-01,2747.8015366496
2009-12-01,2671.91037789157
2010-01-01,2791.52120505903
2010-02-01,2686.75348985272
2010-03-01,2756.2987501495
2010-04-01,2703.66857774646
2010-05-01,2812.60240319445
2010-06-01,2882.81814970546
2010-07-01,2749.5006068892
2010-08-01,2778.30601301957
2010-09-01,2677.72346182342
2010-10-01,2815.23687651057
2010-11-01,2691.46687636259
2010-12-01,2531.58805805368
2011-01-01,2849.68370190462
2011-02-01,2903.923254477
2011-03-01,2951.82437146743
2011-04-01,2964.27038394779
2011-05-01,3223.23250884818
2011-06-01,2902.84660440007
2011-07-01,3010.30769498897
2011-08-01,2938.69079912378
2011-09-01,2842.49768577393
2011-10-01,2750.51636756492
2011-11-01,2850.66412441022
2011-12-01,2857.35154995257
2012-01-01,2875.25425611815
2012-02-01,3023.83173301328
2012-03-01,3006.92341064398
2012-04-01,2993.44996325459
2012-05-01,2814.69247493602
2012-06-01,2816.89862347294
2012-07-01,2887.84847063513
2012-08-01,2762.80019842495
2012-09-01,2846.22646424135
2012-10-01,2991.90422066434
2012-11-01,2961.74788277533
2012-12-01,2958.69516903454
2013-01-01,2837.86795501821
2013-02-01,2776.68146508022
2013-03-01,2755.74565637082
2013-04-01,2879.72418799015
2013-05-01,2924.2355089261
2013-06-01,2904.42947677866
