index_date,iec,ipca
2010-01-01,-1742.08779782379,0.522413067050574
2010-02-01,-4344.55690272096,0.61695720488603
2010-03-01,-3505.08182354217,0.512563226326936
2010-04-01,-6385.35906695849,0.411973260458117
2010-05-01,-4402.19472793869,0.494417556911005
2010-06-01,-3307.67189648116,0.36663773492659
2010-07-01,-4108.97203109316,0.312830787132955
2010-08-01,-5397.31401653196,0.251887465932677
2010-09-01,-7647.36413775274,0.44879812328505
2010-10-01,-20407.9418006164,0.676271973664095
2010-11-01,-4153.47822899143,0.696334729157407
2010-12-01,-1645.82619263335,0.455976890194845
2011-01-01,-3622.1537913495,0.590294742726319
2011-02-01,-1966.64936236148,0.643694008200819
2011-03-01,-10121.8904440437,0.78378253687352
2011-04-01,-3389.70232578035,0.617574919853882
2011-05-01,-4694.78913562752,0.534003282864125
2011-06-01,-3060.93224525471,0.488385106020233
2011-07-01,-5317.80036640954,0.469273440953771
2011-08-01,-272.5050700164,0.585418910504737
2011-09-01,796.063064438835,0.532560989046389
2011-10-01,-1509.51304853564,0.370453598175073
2011-11-01,-4690.12443471296,0.407538967860017
2011-12-01,-3477.02194565841,0.323365578954299
2012-01-01,-4539.24890757213,0.287436985381348
2012-02-01,-575.860749862574,0.291113546452793
2012-03-01,794.373624919411,0.205577164873115
2012-04-01,-583.331188275715,0.509399511215353
2012-05-01,2220.39923918183,0.432120599167748
2012-06-01,-1166.24638670185,0.368932331994279
2012-07-01,-809.190295797477,0.735651298044783
2012-08-01,-1868.61394566557,0.619240917403071
2012-09-01,-659.562447258231,0.596127287766383
2012-10-01,-2696.95047405764,0.558426520794668
2012-11-01,-2910.01183918626,0.516187956371348
2012-12-01,-3052.60702381862,0.603379624147907
2013-01-01,-2678.86051262151,0.541608997750108
2013-02-01,-3969.68270959582,0.43396688686507
2013-03-01,-3063.98386057854,0.491749022416106
2013-04-01,1274.81073219135,0.451194441232856
2013-05-01,-3770.5898579922,0.433627202752204
2013-06-01,-966.375728534713,0.501803070759837
2013-07-01,-3151.54292460171,0.303221366417805
2013-08-01,-6840.88834177149,0.435260170001944
2013-09-01,-7473.29706003735,0.415667802896368
2013-10-01,383.774625091243,0.568240234090481
2013-11-01,-1403.79213544999,0.489469111625856
2013-12-01,-852.567562198004,0.734797417619436
2014-01-01,-4507.57634494718,0.193899157594469
2014-02-01,-2974.98282658675,0.51190981887147
2014-03-01,-5724.15820741713,0.953466861531887
2014-04-01,-1966.12388238571,0.619878944441266
2014-05-01,-6045.91392330891,0.500730463317827
2014-06-01,-8356.08705361035,0.610961121777939
2014-07-01,2098.60200600417,0.240301248173744
2014-08-01,-5832.36084401664,0.42126445240728
2014-09-01,-6815.12239536529,0.685863080837092
2014-10-01,-6198.38238822443,0.426088039920945
2014-11-01,-2746.11461389821,0.480740562003252
2014-12-01,7354.78721904124,0.593669740072251
2015-01-01,-9030.51192585039,0.884321095156834
2015-02-01,-5174.27403437111,1.03857470542016
2015-03-01,-3002.08333438153,1.37350117946672
2015-04-01,-4296.05485642298,0.702358623533825
2015-05-01,-4101.44970533521,0.73923549485277
2015-06-01,328.180020975452,0.987286917392429
2015-07-01,6102.85569958861,0.788446015416624
2015-08-01,201.972989073744,0.386598989793282
2015-09-01,2395.02755113172,0.690153081875246
2015-10-01,2434.43637548119,0.808553071011714
2015-11-01,-5002.43968147759,0.991881541813774
2015-12-01,1331.97551032696,0.792531016813895
2016-01-01,4603.21456158153,0.951117333449566
2016-02-01,4621.63289319729,0.714521296316202
2016-03-01,730.080803570713,0.477305015906611
2016-04-01,500.698635695742,0.624010091727039
2016-05-01,5085.84955719113,0.762429260346131
2016-06-01,-3055.80816056068,0.555122513785934
2016-07-01,-645.390948091485,0.633190538643042
2016-08-01,4217.83807765632,0.600209199702053
2016-09-01,3154.47669366293,0.259869498722223
2016-10-01,1202.01168643049,0.224677311044911
2016-11-01,-811.052339121683,0.130692322217986
2016-12-01,647.782419472848,0.128909568517368
2017-01-01,4681.07343460371,0.122322301382029
2017-02-01,1016.34034923667,0.157504514095741
2017-03-01,4091.63506679413,0.307488242221206
2017-04-01,-2055.02254162939,0.162526846902641
2017-05-01,708.186074597792,0.296467417618739
2017-06-01,4012.53788088559,-0.0144630059625964
2017-07-01,-257.060878702874,0.298940215174914
2017-08-01,-282.87433632029,0.357711197461914
2017-09-01,2893.90576370024,0.345142717786124
2017-10-01,-1160.12850479212,0.360432998384078
2017-11-01,2617.81477294257,0.201970185258107
2017-12-01,1817.30912523174,0.234336141454636
2018-01-01,-7600.98106349645,0.0960871688126373
2018-02-01,-143.954783906376,0.167741241086006
2018-03-01,11465.3567377933,0.13572138886417
2018-04-01,-4258.54829651387,0.247650494653552
2018-05-01,1778.26789968832,0.424716176653096
2018-06-01,2333.95627244914,1.49057647379513
2018-07-01,-9747.96565568965,0.371048143678159
2018-08-01,4194.65418993958,0.0890836122658548
2018-09-01,1515.18055617036,0.649456593888441
2018-10-01,108.013122882017,0.368003218223711
2018-11-01,5378.42018141175,-0.324928546376444
2018-12-01,2128.38040784363,-0.124478407744946
2019-01-01,-1336.5711275725,0.181224822811555
2019-02-01,-2372.46628247181,0.303808547855743
2019-03-01,-262.673370039689,0.794146394974658
2019-04-01,3662.28709156161,0.611439539477338
2019-05-01,1898.64325804497,0.202595392917987
2019-06-01,2462.29813188493,0.227247349456213
2019-07-01,-427.868449888906,0.23390198067891
2019-08-01,5085.04925145622,0.321648213190095
2019-09-01,2071.03614739977,0.0939706906288432
2019-10-01,5747.03560194549,0.000949630674841648
