index_date;ibov;oil;dolfut;ipca;embi;selic
01/02/2015;5214.736796;9.756463642;2.887283476;0.15425361;5.275396035;-0.335751471
01/03/2015;-1524.311168;-2.176381907;3.269286371;0.334926474;17.4577795;0.517487544
01/04/2015;3396.758312;0.656439181;3.067043893;-0.671142556;-4.761771928;-0.139460742
01/05/2015;26.76750661;3.154898778;3.155236808;0.036876871;-18.57511105;-0.375665077
01/06/2015;1778.314436;-2.528920128;3.114126808;0.248051423;12.13804411;0.404887965
01/07/2015;-4816.12383;-3.733765066;3.419512681;-0.198840902;19.12580671;0.013772519
01/08/2015;-3481.359583;-9.219570213;3.646356919;-0.401847026;24.4097155;-0.425288949
01/09/2015;-1806.019287;-0.383570086;3.87332879;0.303554092;84.59949663;0.038455438
01/10/2015;-694.5412609;1.816263864;3.842394729;0.118399989;-15.74041197;-0.055266249
01/11/2015;196.9316197;-2.868899714;3.772705143;0.183328471;11.62129362;-0.127823369
01/12/2015;-413.7047666;-4.142028585;3.834898511;-0.199350525;83.84096325;0.14268739
01/01/2016;-4564.416516;-7.657483782;4.13417346;0.158586317;-37.13879181;-0.154025016
01/02/2016;2636.964358;1.812502777;4.015381746;-0.236596037;-2.596747578;0.155654158
01/03/2016;6755.013845;5.904034613;3.622222747;-0.23721628;-67.2782666;0.00337771
01/04/2016;2192.02643;0.220424813;3.5144748;0.146705076;-3.04303248;-0.109334701
01/05/2016;-1830.699888;2.753207686;3.554487809;0.138419169;-7.257750395;0.118436138
01/06/2016;4021.847444;2.568894193;3.205737413;-0.207306747;-43.53670377;-0.091110291
01/07/2016;3376.9981;-2.254110915;3.283899592;0.078068025;0.110467325;-0.000386698
01/08/2016;1664.438852;2.481879555;3.212634549;-0.032981339;-38.65686816;0.086516741
01/09/2016;357.714725;-1.6519243;3.156340942;-0.340339701;-3.070795307;0.02796217
01/10/2016;4224.758614;4.240076274;3.169259506;-0.035192188;5.814385166;-0.280021777
01/11/2016;-1586.037654;-4.244591365;3.34755359;-0.093984989;17.34235322;0.078641957
01/12/2016;301.6424804;9.6111192;3.214700491;-0.001782754;-17.05529597;-0.076691987
01/01/2017;1060.907364;1.705622524;3.225216625;-0.006587267;-38.96088486;-0.671807711
01/02/2017;2704.394216;1.36475059;3.153970216;0.035182213;-3.695055562;0.144727677
01/03/2017;-1969.104678;-3.045180381;3.218949087;0.149983728;-4.018921078;0.772939033
01/04/2017;-909.2640237;-2.701371634;3.223891185;-0.144961395;1.051243332;-1.094582597
01/05/2017;1759.188514;-4.178722196;3.183853549;0.133940571;-1.089869103;1.09149616
01/06/2017;490.9651217;-2.497356016;3.286150622;-0.310930424;17.35260797;-1.077229171
01/07/2017;705.9060721;2.913463849;3.187762796;0.313403221;-8.141009147;0.020974479
01/08/2017;6164.653945;4.758082812;3.089995007;0.058770982;-6.870302647;1.075566452
01/09/2017;3769.513306;1.806639765;3.077105573;-0.01256848;-33.98174845;-1.011211548
01/10/2017;-3140.76292;3.055201772;3.276822346;0.015290281;4.622078297;0.270248837
01/11/2017;-837.9382436;5.051239476;3.232309968;-0.158462813;-4.144475619;0.54675875
01/12/2017;6317.606604;0.951408106;3.290287154;0.032365956;-7.745875552;-0.326974971
01/01/2018;3603.697269;5.953219516;3.288438694;-0.138248973;-3.305885292;0.341318639
01/02/2018;1941.165124;-2.345219393;3.333884414;0.071654072;3.112273696;-0.129104254
01/03/2018;286.7151869;1.915877838;3.360681727;-0.032019852;17.25548261;0.043382578
01/04/2018;67.32597214;2.61482985;3.468293359;0.111929106;5.775205883;0.170801947
01/05/2018;-5012.545541;3.622472748;3.652288952;0.177065682;33.02880402;0.055880686
01/06/2018;-4135.78687;-1.02828154;3.799913865;1.065860297;37.47416434;-0.045206777
01/07/2018;4976.314002;-0.256376035;3.827605616;-1.11952833;-46.01200168;0.024106748
01/08/2018;-1840.28214;-0.51980275;4.028410764;-0.281964531;61.16668432;0.062850558
01/09/2018;3110.755823;3.950783466;3.893891099;0.560372982;-56.93585292;-0.016381247
01/10/2018;4790.925751;4.082318441;3.729050725;-0.281453376;-23.72502797;0.023184478
01/11/2018;3412.127252;-17.21025425;3.85495416;-0.692931765;10.48527213;-0.21280965
01/12/2018;-624.7164013;-9.737777076;3.893168292;0.200450139;0.683552385;0.19587232
01/01/2019;4286.115256;4.110034647;3.821045921;0.305703231;-22.80273657;-0.190562671
01/02/2019;802.9971936;6.505197528;3.865196402;0.122583725;-13.48069935;0.118034025
01/03/2019;232.2542685;4.422534718;3.923467103;0.490337847;18.73421517;0.078778417
01/04/2019;1353.134895;1.769643098;3.888674033;-0.182706855;-0.133928762;-0.086340358
01/05/2019;4240.234328;-0.294036059;3.83755452;-0.408844147;0.228666965;0.028245615
01/06/2019;3320.076956;-6.263424693;3.754482721;0.024651957;-23.27939644;-0.005318705
01/07/2019;104.5758483;-1.075547966;3.837275254;0.006654631;-9.005919076;0.023993003
01/08/2019;-51.39250851;-4.102496899;4.011796872;0.087746233;20.80703386;-0.4584674
01/09/2019;4640.333783;1.737050559;4.048406389;-0.227677523;-4.87616771;-0.021225601
01/10/2019;-1785.659968;-0.959049252;4.030706214;-0.09302106;1.655466928;0.013054567
01/11/2019;1831.29158;2.123128399;4.242146284;0.377298402;2.603199873;0.325422605
01/12/2019;7765.705643;0.779649622;4.088785191;0.436068804;-28.0383334;-0.338678246
01/01/2020;-7233.727094;-0.983167059;4.483213908;-0.71635721;25.40640713;0.318829871
01/02/2020;-5665.570932;-5.902713631;4.659605791;0.037459215;15.31527747;-0.134356654
01/03/2020;-30180.94618;-20.70333916;5.211942753;-0.030260917;133.1499757;-0.167230943
01/04/2020;8216.123097;-16.63968969;5.308897884;-0.365190824;52.07671343;0.420163158
01/05/2020;8587.869481;11.03873716;5.27780439;0.00916536;-76.46500408;-0.72455772
01/06/2020;6941.788569;11.18096937;5.348636418;0.717539619;2.183518548;-0.002149298
01/07/2020;8127.281885;1.60084529;5.306249228;-0.044916652;-14.13606348;0.773420095
01/08/2020;-2991.982757;2.265597813;5.289634372;0.047744376;-40.54503806;-0.209961996
01/09/2020;-3901.38331;-5.609482338;5.47555295;0.281905627;17.88168831;0.228882991
01/10/2020;-4088.729135;1.285830114;5.82153362;0.010891212;-12.29967108;-0.005938769
01/11/2020;14846.32147;0.846717748;5.381046598;-0.031296103;-35.92068665;-0.141650404
01/12/2020;9894.086273;3.556572042;5.306088468;0.23422555;-16.80000234;0.138216062
